StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0156,4,2,9
0156,4,3,1
0156,4,4,9
0157,5,1,11
0157,5,2,10
0157,5,3,10
0157,5,4,8
0157,5,5,1
0158,5,1,10
0158,5,2,8
0158,5,3,8
0158,5,4,8
0158,5,5,8
0159,11,1,9
0159,11,2,10
0159,11,3,9
0159,11,4,8
0159,11,5,1
0159,11,6,1
0159,11,7,8
0159,11,8,6
0159,11,9,10
0159,11,10,7
0159,11,11,1
0160,8,1,9
0160,8,2,9
0160,8,3,8
0160,8,4,8
0160,8,5,1
0160,8,6,8
0160,8,7,8
0160,8,8,1
0161,5,1,8
0161,5,2,10
0161,5,3,9
0161,5,4,1
0161,5,5,1
0162,5,1,9
0162,5,2,11
0162,5,3,8
0162,5,4,8
0162,5,5,2
0163,8,1,10
0163,8,2,9
0163,8,3,1
0163,8,4,8
0163,8,5,8
0163,8,6,9
0163,8,7,8
0163,8,8,1
0164,4,1,7
0164,4,2,6
0164,4,3,1
0164,4,4,1
0165,11,1,10
0165,11,2,8
0165,11,3,1
0165,11,4,8
0165,11,5,8
0165,11,6,2
0165,11,7,8
0165,11,8,8
0165,11,9,1
0165,11,10,7
0165,11,11,1
0166,4,1,9
0166,4,2,9
0166,4,3,1
0166,4,4,7
0167,4,1,9
0167,4,2,10
0167,4,3,1
0167,4,4,8
0169,4,1,10
0169,4,2,10
0169,4,3,10
0169,4,4,9
0172,3,1,10
0172,3,2,8
0172,3,3,1
0173,6,1,9
0173,6,2,10
0173,6,3,10
0173,6,4,9
0173,6,5,1
0173,6,6,1
0175,4,1,10
0175,4,2,9
0175,4,3,8
0175,4,4,9
0176,4,1,10
0176,4,2,9
0176,4,3,8
0176,4,4,8
0177,5,1,9
0177,5,2,9
0177,5,3,9
0177,5,4,9
0177,5,5,9
0179,2,1,9
0179,2,2,10
0180,4,1,8
0180,4,2,1
0180,4,3,5
0180,4,4,3
0182,6,1,8
0182,6,2,10
0182,6,3,8
0182,6,4,8
0182,6,5,8
0182,6,6,1
0183,3,1,7
0183,3,2,1
0183,3,3,5
0185,6,1,6
0185,6,2,1
0185,6,3,5
0185,6,4,5
0185,6,5,5
0185,6,6,1
0186,6,1,10
0186,6,2,10
0186,6,3,1
0186,6,4,9
0186,6,5,8
0186,6,6,2
0187,6,1,9
0187,6,2,8
0187,6,3,9
0187,6,4,9
0187,6,5,1
0187,6,6,2
0189,10,1,10
0189,10,2,9
0189,10,3,1
0189,10,4,1
0189,10,5,8
0189,10,6,7
0189,10,7,8
0189,10,8,8
0189,10,9,1
0189,10,10,1
0190,5,1,6
0190,5,2,1
0190,5,3,7
0190,5,4,1
0190,5,5,1
0192,2,1,9
0192,2,2,10
0193,8,1,9
0193,8,2,9
0193,8,3,2
0193,8,4,8
0193,8,5,9
0193,8,6,10
0193,8,7,9
0193,8,8,2
0194,5,1,9
0194,5,2,10
0194,5,3,2
0194,5,4,8
0194,5,5,8
0195,8,1,9
0195,8,2,9
0195,8,3,2
0195,8,4,9
0195,8,5,8
0195,8,6,1
0195,8,7,1
0195,8,8,6
0196,3,1,4
0196,3,2,5
0196,3,3,1
0197,2,1,9
0197,2,2,9
0198,8,1,9
0198,8,2,10
0198,8,3,9
0198,8,4,9
0198,8,5,9
0198,8,6,9
0198,8,7,6
0198,8,8,1
0199,2,1,10
0199,2,2,9
0200,4,1,9
0200,4,2,9
0200,4,3,8
0200,4,4,8
0201,3,1,9
0201,3,2,10
0201,3,3,8
0202,5,1,8
0202,5,2,9
0202,5,3,9
0202,5,4,8
0202,5,5,2
0203,5,1,10
0203,5,2,8
0203,5,3,9
0203,5,4,8
0203,5,5,1
0204,5,1,10
0204,5,2,9
0204,5,3,9
0204,5,4,8
0204,5,5,2
0205,8,1,9
0205,8,2,9
0205,8,3,8
0205,8,4,8
0205,8,5,1
0205,8,6,8
0205,8,7,8
0205,8,8,2
0206,3,1,9
0206,3,2,9
0206,3,3,1
0207,5,1,10
0207,5,2,9
0207,5,3,1
0207,5,4,9
0207,5,5,9
0208,6,1,10
0208,6,2,9
0208,6,3,9
0208,6,4,8
0208,6,5,1
0208,6,6,2
0209,2,1,6
0209,2,2,4
0211,4,1,6
0211,4,2,6
0211,4,3,1
0211,4,4,3
0212,4,1,8
0212,4,2,11
0212,4,3,9
0212,4,4,9
0214,8,1,6
0214,8,2,6
0214,8,3,2
0214,8,4,6
0214,8,5,2
0214,8,6,6
